id,dbn,name,num_test_takers,reading_avg,math_avg,writing_score
0,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29.0,355.0,404.0,363.0
1,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91.0,383.0,423.0,366.0
2,01M450,EAST SIDE COMMUNITY SCHOOL,70.0,377.0,402.0,370.0
3,01M458,FORSYTH SATELLITE ACADEMY,7.0,414.0,401.0,359.0
4,01M509,MARTA VALLE HIGH SCHOOL,44.0,390.0,433.0,384.0
5,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,112.0,332.0,557.0,316.0
6,01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159.0,522.0,574.0,525.0
7,01M650,CASCADES HIGH SCHOOL,18.0,417.0,418.0,411.0
8,01M696,BARD HIGH SCHOOL EARLY COLLEGE,130.0,624.0,604.0,628.0
9,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,16.0,395.0,400.0,387.0
10,02M288,FOOD AND FINANCE HIGH SCHOOL,62.0,409.0,393.0,392.0
11,02M294,ESSEX STREET ACADEMY,53.0,394.0,384.0,378.0
12,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58.0,374.0,375.0,362.0
13,02M298,PACE HIGH SCHOOL,85.0,423.0,438.0,432.0
14,02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48.0,404.0,449.0,416.0
15,02M303,"FACING HISTORY SCHOOL, THE",76.0,353.0,358.0,340.0
16,02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50.0,375.0,388.0,385.0
17,02M308,LOWER MANHATTAN ARTS ACADEMY,40.0,403.0,392.0,405.0
18,02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",69.0,408.0,390.0,390.0
19,02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",42.0,373.0,370.0,384.0
20,02M374,GRAMERCY ARTS HIGH SCHOOL,60.0,391.0,391.0,394.0
21,02M376,NYC ISCHOOL,92.0,473.0,483.0,479.0
22,02M392,MANHATTAN BUSINESS ACADEMY,,,,
23,02M393,BUSINESS OF SPORTS SCHOOL,,,,
24,02M394,EMMA LAZARUS HIGH SCHOOL,79.0,319.0,512.0,357.0
25,02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,,,,
26,02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,263.0,465.0,493.0,461.0
27,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,54.0,492.0,465.0,467.0
28,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,94.0,509.0,490.0,523.0
29,02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,104.0,496.0,563.0,518.0
30,02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,114.0,537.0,590.0,550.0
31,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,66.0,517.0,533.0,515.0
32,02M414,N.Y.C. MUSEUM SCHOOL,103.0,468.0,492.0,459.0
33,02M416,ELEANOR ROOSEVELT HIGH SCHOOL,127.0,572.0,594.0,592.0
34,02M418,MILLENNIUM HIGH SCHOOL,144.0,528.0,553.0,533.0
35,02M419,LANDMARK HIGH SCHOOL,62.0,390.0,399.0,381.0
36,02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,336.0,429.0,449.0,428.0
37,02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,84.0,416.0,426.0,391.0
38,02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,,,,
39,02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,29.0,356.0,357.0,349.0
40,02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,,,,
41,02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,,,,
42,02M439,MANHATTAN VILLAGE ACADEMY,95.0,441.0,473.0,458.0
43,02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,59.0,378.0,365.0,368.0
44,02M449,VANGUARD HIGH SCHOOL,72.0,395.0,416.0,388.0
45,02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,49.0,376.0,460.0,391.0
46,02M460,WASHINGTON IRVING HIGH SCHOOL,151.0,373.0,387.0,360.0
47,02M473,WASHINGTON IRVING YABC,,,,
48,02M475,STUYVESANT HIGH SCHOOL,832.0,679.0,735.0,682.0
49,02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,167.0,443.0,489.0,442.0
50,02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,25.0,370.0,349.0,351.0
51,02M519,TALENT UNLIMITED HIGH SCHOOL,81.0,469.0,472.0,475.0
52,02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,264.0,407.0,440.0,393.0
53,02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,131.0,414.0,425.0,400.0
54,02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,42.0,429.0,404.0,420.0
55,02M542,MANHATTAN BRIDGES HIGH SCHOOL,66.0,336.0,378.0,344.0
56,02M543,NEW DESIGN HIGH SCHOOL,73.0,391.0,395.0,382.0
57,02M544,INDEPENDENCE HIGH SCHOOL,14.0,389.0,371.0,335.0
58,02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,78.0,412.0,581.0,431.0
59,02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,26.0,368.0,436.0,352.0
60,02M551,THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,77.0,405.0,423.0,384.0
61,02M560,HIGH SCHOOL M560 s CITY AS SCHOOL,56.0,498.0,440.0,477.0
62,02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,30.0,527.0,508.0,512.0
63,02M570,SATELLITE ACADEMY HIGH SCHOOL,33.0,350.0,337.0,345.0
64,02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,121.0,345.0,517.0,343.0
65,02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,84.0,408.0,384.0,403.0
66,02M586,HARVEY MILK HIGH SCHOOL,9.0,458.0,416.0,429.0
67,02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,335.0,423.0,423.0,411.0
68,02M605,HUMANITIES PREPARATORY ACADEMY,36.0,426.0,403.0,426.0
69,02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,83.0,399.0,418.0,390.0
70,02M620,NORMAN THOMAS HIGH SCHOOL,154.0,370.0,379.0,359.0
71,02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,191.0,395.0,382.0,376.0
72,02M630,ART AND DESIGN HIGH SCHOOL,270.0,444.0,441.0,430.0
73,02M655,LIFE SCIENCES SECONDARY SCHOOL,61.0,409.0,424.0,403.0
74,03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,27.0,406.0,379.0,408.0
75,03M299,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",49.0,374.0,384.0,374.0
76,03M307,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",41.0,384.0,390.0,370.0
77,03M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,,,,
78,03M403,THE GLOBAL LEARNING COLLABORATIVE,,,,
79,03M404,INNOVATION DIPLOMA PLUS,12.0,416.0,403.0,381.0
80,03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,32.0,371.0,368.0,370.0
81,03M417,FRANK MCCOURT HIGH SCHOOL,,,,
82,03M470,LOUIS D. BRANDEIS HIGH SCHOOL,131.0,370.0,390.0,358.0
83,03M479,BEACON HIGH SCHOOL,261.0,577.0,575.0,592.0
84,03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,531.0,566.0,564.0,577.0
85,03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",66.0,396.0,398.0,402.0
86,03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,75.0,433.0,433.0,411.0
87,03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,35.0,401.0,369.0,351.0
88,03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,111.0,473.0,506.0,467.0
89,03M577,YOUNG ADULT BOROUGH CENTER AT LOUIS D. BRANDEIS HS,,,,
90,03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,43.0,356.0,379.0,361.0
91,04M409,COALITION SCHOOL FOR SOCIAL CHANGE,48.0,354.0,357.0,373.0
92,04M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,375.0,461.0,514.0,455.0
93,04M495,PARK EAST HIGH SCHOOL,51.0,373.0,379.0,376.0
94,04M555,CENTRAL PARK EAST HIGH SCHOOL,73.0,405.0,421.0,395.0
95,04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,70.0,432.0,446.0,448.0
96,04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH SCHOOL,48.0,369.0,369.0,357.0
97,04M680,"HERITAGE SCHOOL, THE",31.0,358.0,351.0,345.0
98,05M285,HARLEM RENAISSANCE HIGH SCHOOL,29.0,357.0,318.0,333.0
99,05M304,MOTT HALL HIGH SCHOOL,54.0,413.0,399.0,398.0
100,05M362,"COLUMBIA SECONDARY SCHOOL FOR MATH, SCIENCE, AND ENGINEERING",,,,
101,05M367,ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL,33.0,354.0,366.0,342.0
102,05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,56.0,360.0,353.0,364.0
103,05M469,CHOIR ACADEMY OF HARLEM,20.0,354.0,360.0,385.0
104,05M499,FREDERICK DOUGLASS ACADEMY,214.0,458.0,474.0,442.0
105,05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,66.0,396.0,402.0,404.0
106,05M685,BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL,61.0,369.0,361.0,355.0
107,05M692,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",101.0,605.0,654.0,588.0
108,06M293,CITY COLLEGE ACADEMY OF THE ARTS,60.0,408.0,446.0,416.0
109,06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,55.0,362.0,376.0,367.0
110,06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,70.0,380.0,395.0,399.0
111,06M423,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,,,,
112,06M457,GEORGE WASHINGTON YABC,7.0,394.0,357.0,346.0
113,06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE,76.0,365.0,384.0,378.0
114,06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,63.0,369.0,380.0,349.0
115,06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,94.0,363.0,378.0,361.0
116,06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,24.0,400.0,422.0,402.0
117,06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,228.0,430.0,456.0,423.0
118,06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,56.0,339.0,349.0,326.0
119,07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,65.0,364.0,378.0,348.0
120,07X321,CROTONA ACADEMY HIGH SCHOOL,9.0,379.0,364.0,382.0
121,07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,34.0,310.0,324.0,311.0
122,07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,,,,
123,07X381,BRONX HAVEN HIGH SCHOOL,,,,
124,07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,43.0,361.0,359.0,357.0
125,07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,63.0,351.0,375.0,371.0
126,07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL,79.0,403.0,394.0,404.0
127,07X500,HOSTOSsLINCOLN ACADEMY OF SCIENCE,66.0,420.0,426.0,411.0
128,07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,64.0,399.0,396.0,391.0
129,07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,62.0,362.0,378.0,363.0
130,07X547,NEW EXPLORERS HIGH SCHOOL,28.0,367.0,356.0,361.0
131,07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,44.0,387.0,411.0,383.0
132,07X551,BRONX ACADEMY OF LETTERS,51.0,413.0,381.0,407.0
133,07X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,76.0,394.0,400.0,364.0
134,07X655,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,47.0,398.0,416.0,370.0
135,07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,114.0,363.0,368.0,364.0
136,08X269,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,,,,
137,08X282,WOMEN'S ACADEMY OF EXCELLENCE,44.0,407.0,386.0,378.0
138,08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY,52.0,384.0,385.0,389.0
139,08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY,41.0,416.0,390.0,394.0
140,08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES,67.0,337.0,361.0,340.0
141,08X312,MILLENNIUM ART ACADEMY,67.0,387.0,402.0,375.0
142,08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH,39.0,363.0,371.0,350.0
143,08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",,,,
144,08X376,"ANTONIA PANTOJA PREPARATORY ACADEMY, A COLLEGE BOARD SCHOOL",,,,
145,08X377,BRONX COMMUNITY HIGH SCHOOL,9.0,367.0,369.0,376.0
146,08X405,HERBERT H. LEHMAN HIGH SCHOOL,415.0,412.0,436.0,393.0
147,08X408,HERBERT H. LEHMAN YABC,6.0,402.0,373.0,413.0
148,08X432,BRONX BRIDGES HIGH SCHOOL,,,,
149,08X452,BRONX GUILD,39.0,369.0,371.0,365.0
150,08X507,STEVENSON YABC,,,,
151,08X519,"FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE",68.0,373.0,370.0,356.0
152,08X530,BANANA KELLY HIGH SCHOOL,54.0,373.0,381.0,377.0
153,08X537,BRONX ARENA HIGH SCHOOL,,,,
154,08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,16.0,366.0,400.0,368.0
155,08X560,HIGH SCHOOL X560 s BRONX ACADEMY HIGH SCHOOL,9.0,404.0,368.0,399.0
156,08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,78.0,377.0,359.0,376.0
157,09X227,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,39.0,324.0,376.0,349.0
158,09X231,EAGLE ACADEMY FOR YOUNG MEN,78.0,373.0,387.0,374.0
159,09X239,"URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN, THE",33.0,372.0,355.0,357.0
160,09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",80.0,411.0,464.0,415.0
161,09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,50.0,393.0,394.0,382.0
162,09X252,MOTT HALL BRONX HIGH SCHOOL,67.0,369.0,367.0,356.0
163,09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,81.0,459.0,480.0,457.0
164,09X263,VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL,74.0,356.0,363.0,356.0
165,09X276,LEADERSHIP INSTITUTE,30.0,361.0,353.0,367.0
166,09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,38.0,386.0,386.0,376.0
167,09X324,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,,,,
168,09X329,DREAMYARD PREPARATORY SCHOOL,51.0,382.0,365.0,391.0
169,09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY,54.0,315.0,339.0,297.0
170,09X403,BRONX INTERNATIONAL HIGH SCHOOL,49.0,314.0,312.0,339.0
171,09X404,SCHOOL FOR EXCELLENCE,32.0,363.0,360.0,351.0
172,09X412,BRONX HIGH SCHOOL OF BUSINESS,34.0,356.0,376.0,351.0
173,09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,64.0,400.0,419.0,402.0
174,09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,35.0,379.0,364.0,379.0
175,09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",80.0,404.0,418.0,402.0
176,09X517,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,50.0,368.0,384.0,369.0
177,09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,114.0,384.0,394.0,388.0
178,09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,27.0,353.0,315.0,371.0
179,10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),113.0,438.0,455.0,440.0
180,10X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,86.0,373.0,412.0,365.0
181,10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,59.0,405.0,391.0,394.0
182,10X237,"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS",79.0,382.0,393.0,382.0
183,10X243,WEST BRONX ACADEMY FOR THE FUTURE,26.0,382.0,406.0,370.0
184,10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,52.0,304.0,356.0,302.0
185,10X284,BRONX SCHOOL OF LAW AND FINANCE,54.0,402.0,395.0,385.0
186,10X319,PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH SCHOOL,,,,
187,10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,49.0,300.0,333.0,301.0
188,10X368,INsTECH ACADEMY (M.S. / HIGH SCHOOL 368),111.0,390.0,408.0,383.0
189,10X374,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA),61.0,392.0,401.0,387.0
190,10X397,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),38.0,343.0,356.0,330.0
191,10X433,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,57.0,370.0,371.0,365.0
192,10X434,BELMONT PREPARATORY HIGH SCHOOL,51.0,404.0,418.0,400.0
193,10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,48.0,355.0,350.0,372.0
194,10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,63.0,367.0,385.0,367.0
195,10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,65.0,366.0,364.0,352.0
196,10X440,DEWITT CLINTON HIGH SCHOOL,443.0,419.0,426.0,410.0
197,10X442,"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",52.0,423.0,420.0,427.0
198,10X445,BRONX HIGH SCHOOL OF SCIENCE,731.0,632.0,688.0,649.0
199,10X475,JOHN F. KENNEDY HIGH SCHOOL,109.0,351.0,362.0,339.0
200,10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,99.0,414.0,435.0,414.0
201,10X478,LEARNING TO WORK GED AT JOHN F. KENNEDY,,,,
202,10X546,BRONX THEATRE HIGH SCHOOL,68.0,348.0,362.0,354.0
203,10X549,DISCOVERY HIGH SCHOOL,55.0,372.0,379.0,364.0
204,10X660,GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,73.0,362.0,382.0,356.0
205,10X667,GRACE DODGE YABC,10.0,350.0,356.0,317.0
206,10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,92.0,636.0,648.0,636.0
207,11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,74.0,370.0,381.0,382.0
208,11X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,46.0,400.0,357.0,390.0
209,11X265,BRONX LAB SCHOOL,81.0,377.0,391.0,367.0
210,11X270,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,56.0,386.0,394.0,361.0
211,11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,72.0,381.0,376.0,354.0
212,11X288,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,97.0,444.0,471.0,433.0
213,11X290,BRONX ACADEMY OF HEALTH CAREERS,69.0,387.0,365.0,383.0
214,11X299,ASTOR COLLEGIATE ACADEMY,60.0,387.0,391.0,391.0
215,11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,121.0,367.0,361.0,353.0
216,11X417,YOUNG ADULT BOROUGH CNTR CHRISTOPHER COLUMBUS HS,,,,
217,11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,48.0,419.0,433.0,416.0
218,11X455,HARRY S TRUMAN HIGH SCHOOL,189.0,386.0,397.0,368.0
219,11X456,LEARNING TO WORK YABC AT TRUMAN HIGH SCHOOL,,,,
220,11X513,NEW WORLD HIGH SCHOOL,72.0,332.0,381.0,335.0
221,11X514,THE BRONXWOOD PREPARATORY ACADEMY,48.0,377.0,372.0,363.0
222,11X541,GLOBAL ENTERPRISE HIGH SCHOOL,57.0,372.0,382.0,375.0
223,11X542,PELHAM PREPARATORY ACADEMY,76.0,431.0,438.0,419.0
224,11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,55.0,383.0,378.0,365.0
225,11X545,BRONX AEROSPACE HIGH SCHOOL,46.0,388.0,393.0,382.0
226,12X245,NEW DAY ACADEMY,25.0,348.0,344.0,354.0
227,12X248,"METROPOLITAN HIGH SCHOOL, THE",49.0,347.0,367.0,341.0
228,12X251,EXPLORATIONS ACADEMY,57.0,381.0,381.0,360.0
229,12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,30.0,361.0,353.0,360.0
230,12X267,BRONX LATIN,36.0,408.0,432.0,411.0
231,12X271,EAST BRONX ACADEMY FOR THE FUTURE,46.0,366.0,378.0,358.0
232,12X278,PEACE AND DIVERSITY ACADEMY,34.0,390.0,401.0,364.0
233,12X388,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,30.0,321.0,351.0,298.0
234,12X428,LEARNING TO WORK YABC AT MONROE ACADEMY,,,,
235,12X446,ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX,14.0,380.0,372.0,349.0
236,12X478,THE CINEMA SCHOOL,,,,
